time,temperature,humidity,pressure,light
2022-06-01 12:30:01,15.4303467771446,50.5812278451926,1016.93935190179,451.41695
2022-06-01 12:25:00,20.3841672230321,44.8881117325886,1016.67325858758,858.2096
2022-06-01 12:20:00,20.8667887030506,44.7138135882242,1016.52304891007,638.43045
2022-06-01 12:15:00,21.4294201644554,43.4543154026895,1016.50719896513,904.0162
2022-06-01 12:10:00,20.9190513422024,46.417294528848,1016.50899071079,811.39905
2022-06-01 12:05:00,20.4954667370199,49.2840682418113,1016.51425286896,779.04495
2022-06-01 12:00:00,19.8631582539761,49.4324046407772,1016.50466015403,770.2157
2022-06-01 11:55:00,19.2302089322752,51.0231838745323,1016.49905214354,797.17715
2022-06-01 11:50:00,18.7227557816497,48.6809665433217,1016.45908599168,660.5923
2022-06-01 11:45:00,17.3330002067167,53.2234575334967,1016.46641548528,755.9351
2022-06-01 11:40:00,16.3726359453318,57.7474859304302,1016.38809106011,894.0605
2022-06-01 11:35:00,14.3419358261828,63.2379133896749,1016.44664947195,504.86625
2022-06-01 11:30:00,13.7893480234608,64.6227370549842,1016.43165992026,436.18755
2022-06-01 11:25:00,13.3864416818047,65.5905832704835,1016.47634332864,380.8415
2022-06-01 11:20:00,13.4683776556629,65.6155572976945,1016.45771669549,360.51615
2022-06-01 11:15:00,13.0293436285341,68.4291625990927,1016.44369281523,381.4928
2022-06-01 11:10:01,12.7922467746748,71.3646644468017,1016.43688293153,306.8889
2022-06-01 11:05:00,12.1725720473565,72.0910309498147,1016.38575616271,260.5504
2022-06-01 11:00:00,12.2222490962188,71.318848184096,1016.30558699814,273.0537
2022-06-01 10:55:00,13.3070864384579,66.615327651989,1016.2320587317,295.8083
2022-06-01 10:50:00,15.8710052765784,57.3068266340084,1016.12472786312,413.8476
2022-06-01 10:45:00,18.5417766671861,47.9435755524277,1015.93377692342,535.73885
2022-06-01 10:40:00,20.1157585169609,45.8968338375954,1015.82907796138,625.4532
2022-06-01 10:35:00,18.6559773501672,48.4413199254617,1015.85025700044,1296.70905
2022-06-01 10:30:00,18.3878963112009,49.9250513703715,1015.83766637289,1310.45695
2022-06-01 10:25:00,19.5402309635241,46.8888511608999,1015.82901907206,599.67785
2022-06-01 10:20:00,20.0570442174112,45.735168234644,1015.798028109,658.69745
2022-06-01 10:15:00,19.8602548067293,47.1154717475996,1015.82596948503,1483.7833
2022-06-01 10:10:00,17.36042089958,50.7531849665042,1015.86903348814,944.1363
2022-06-01 10:05:00,17.4649422041738,51.0577572125433,1015.8773170316,582.5529
2022-06-01 10:00:00,18.2472427948988,50.8257613200802,1015.83676437942,1435.1924
2022-06-01 09:55:00,16.8974961859693,51.0385682248454,1015.86347760019,720.0867
2022-06-01 09:50:00,15.9497175598103,53.757797267975,1015.870134218,671.4372
2022-06-01 09:45:00,15.588738424016,53.7922185129525,1015.85037825592,740.05605
2022-06-01 09:40:00,15.4222820366734,55.4862508013475,1015.87704782131,483.17915
2022-06-01 09:35:00,15.0800151060499,55.7877444582799,1015.78323808523,773.4179
2022-06-01 09:30:00,14.678716018086,56.7632212291848,1015.84302080707,727.13855
2022-06-01 09:25:00,13.7567670604285,58.7436292918186,1015.83667787599,685.65895
2022-06-01 09:20:01,13.8999943508217,59.1303624844323,1015.76508078093,505.7554
2022-06-01 09:15:00,13.7609606490794,58.999436017339,1015.74924502439,538.46485
2022-06-01 09:10:00,13.4735389793065,58.7734655398224,1015.77690662112,415.15165
2022-06-01 09:05:00,13.1428922712803,58.2625718704415,1015.71856151268,398.85585
2022-06-01 09:00:00,14.0241893673843,56.8380694163276,1015.64552478074,398.55955
2022-06-01 08:55:00,15.1584041204318,54.8253248011383,1015.54355044592,407.92225
2022-06-01 08:50:01,17.2323502044976,51.5489370106486,1015.51242315234,490.6448
2022-06-01 08:45:00,16.6545826212126,54.1745860663857,1015.49721024878,2029.2386
2022-06-01 08:40:00,16.1442404189394,53.4738037443041,1015.45482644508,1221.1
2022-06-01 08:35:00,15.8210036564015,54.7887860976107,1015.50262788989,570.87935
2022-06-01 08:30:00,17.2952564429157,51.1090927059392,1015.45436328228,637.6033
2022-06-01 08:25:00,18.9469639151954,48.9288773055557,1015.37615614723,1752.81085
2022-06-01 08:20:00,18.4246727249574,50.1291633046467,1015.40481414204,2114.3351
2022-06-01 08:15:00,14.9432377273101,55.9619213446797,1015.4577276051,2048.67745
2022-06-01 08:10:00,12.9209564191347,60.6434808034757,1015.55634529105,494.49845
2022-06-01 08:05:00,13.8999943508217,58.0353036177965,1015.41546860195,448.15975
2022-06-01 08:00:01,15.1058221815616,55.7517117611889,1015.43187965653,484.89905
2022-06-01 07:55:01,16.7403926514613,53.9096726712389,1015.3855252052,2288.25095
2022-06-01 07:50:00,18.8263108369582,49.9273881831309,1015.2222430772,758.7834
2022-06-01 07:45:00,18.6375890949794,50.552639017707,1015.22525091769,2256.5512
2022-06-01 07:40:00,17.4381666734167,53.5103380151416,1015.20884564742,2192.4959
2022-06-01 07:35:00,15.3480864576766,57.6615450895428,1015.22424983431,969.14705
2022-06-01 07:30:00,13.7341862017647,60.1591839169583,1015.19801111962,531.5944
2022-06-01 07:25:00,16.1974681389918,55.4735721651879,1015.12224005061,1045.0518
2022-06-01 07:20:00,16.5342551578897,55.0451073586453,1015.10471194406,720.0893
2022-06-01 07:15:00,18.6559773501672,50.8838572834961,1015.04277289034,2518.22555
2022-06-01 07:10:00,18.0236815726735,52.6840090457431,1014.97998061904,2483.029
2022-06-01 07:05:00,16.4729624089596,54.782048896725,1014.95310354805,2060.11535
